iter	Passed	Remaining
601	4984	19854
602	4991	19841
603	4998	19826
604	5012	19841
605	5020	19832
606	5027	19819
607	5033	19804
608	5043	19802
609	5050	19787
610	5059	19781
611	5066	19769
612	5076	19766
613	5083	19752
614	5090	19740
615	5105	19760
616	5114	19753
617	5122	19744
618	5129	19730
619	5137	19722
620	5145	19712
621	5153	19700
622	5160	19690
623	5167	19676
624	5175	19668
625	5183	19659
626	5191	19648
627	5198	19634
628	5205	19623
629	5212	19608
630	5219	19595
631	5227	19587
632	5242	19601
633	5248	19587
634	5255	19572
635	5262	19558
636	5274	19567
637	5281	19552
638	5288	19540
639	5295	19527
640	5304	19522
641	5311	19509
642	5319	19501
643	5327	19490
644	5336	19485
645	5345	19479
646	5354	19473
647	5362	19462
648	5369	19451
649	5376	19436
650	5382	19422
651	5391	19414
652	5399	19405
653	5405	19390
654	5412	19378
655	5420	19368
656	5431	19369
657	5438	19355
658	5445	19342
659	5451	19328
660	5458	19315
661	5466	19306
662	5474	19296
663	5480	19280
664	5487	19266
665	5494	19254
666	5501	19244
667	5509	19232
668	5516	19219
669	5522	19205
670	5534	19209
671	5540	19195
672	5549	19189
673	5557	19177
674	5565	19170
675	5573	19159
676	5580	19147
677	5587	19136
678	5596	19130
679	5604	19121
680	5611	19110
681	5620	19101
682	5633	19112
683	5642	19106
684	5650	19097
685	5658	19085
686	5668	19084
687	5676	19077
688	5683	19064
689	5690	19051
690	5700	19049
691	5707	19036
692	5715	19027
693	5722	19014
694	5729	19003
695	5737	18991
696	5743	18978
697	5752	18970
698	5768	18988
699	5774	18973
700	5781	18962
701	5788	18949
702	5805	18967
703	5812	18956
704	5819	18944
705	5827	18934
706	5835	18925
707	5842	18915
708	5849	18901
709	5855	18887
710	5863	18877
711	5871	18868
712	5878	18857
713	5885	18843
714	5897	18847
715	5904	18834
716	5912	18826
717	5919	18813
718	5933	18824
719	5940	18812
720	5947	18799
721	5954	18788
722	5964	18783
723	5970	18769
724	5978	18760
725	5984	18746
726	5993	18740
727	6001	18728
728	6008	18719
729	6015	18706
730	6023	18695
731	6033	18693
732	6041	18684
733	6047	18670
734	6054	18657
735	6065	18656
736	6072	18645
737	6079	18634
738	6086	18621
739	6094	18611
740	6101	18600
741	6108	18588
742	6116	18579
743	6123	18567
744	6130	18555
745	6136	18542
746	6143	18530
747	6150	18518
748	6160	18515
749	6168	18504
750	6175	18493
751	6182	18481
752	6193	18480
753	6200	18469
754	6207	18458
755	6213	18444
756	6221	18433
757	6228	18423
758	6236	18413
759	6243	18401
760	6250	18388
761	6256	18376
762	6263	18363
763	6269	18350
764	6278	18342
765	6285	18331
766	6296	18330
767	6302	18317
768	6309	18305
769	6317	18296
770	6325	18286
771	6336	18286
772	6343	18274
773	6349	18261
774	6358	18255
775	6364	18241
776	6371	18229
777	6378	18217
778	6385	18206
779	6393	18197
780	6400	18186
781	6407	18174
782	6414	18163
783	6426	18165
784	6435	18159
785	6442	18146
786	6448	18132
787	6459	18131
788	6465	18118
789	6473	18110
790	6480	18099
791	6489	18090
792	6495	18078
793	6502	18066
794	6509	18053
795	6517	18045
796	6524	18034
797	6532	18025
798	6539	18014
799	6546	18003
800	6557	18001
801	6564	17990
802	6571	17978
803	6578	17967
804	6585	17957
805	6594	17951
806	6602	17941
807	6609	17929
808	6615	17915
809	6623	17906
810	6630	17895
811	6638	17887
812	6644	17875
813	6652	17866
814	6659	17854
815	6667	17845
816	6675	17836
817	6683	17827
818	6692	17821
819	6699	17809
820	6706	17799
821	6713	17788
822	6722	17783
823	6729	17772
824	6737	17761
825	6744	17750
826	6751	17740
827	6760	17734
828	6767	17723
829	6774	17710
830	6781	17700
831	6788	17688
832	6795	17676
833	6802	17668
834	6809	17656
835	6820	17655
836	6827	17644
837	6834	17633
838	6842	17624
839	6850	17614
840	6860	17612
841	6867	17602
842	6874	17589
843	6884	17585
844	6890	17572
845	6898	17563
846	6905	17552
847	6912	17541
848	6920	17533
849	6927	17521
850	6933	17509
851	6940	17498
852	6948	17488
853	6955	17477
854	6962	17467
855	6969	17455
856	6975	17442
857	6983	17433
858	6990	17422
859	6997	17412
860	7005	17403
861	7012	17392
862	7021	17387
863	7028	17376
864	7035	17365
865	7044	17358
866	7051	17348
867	7058	17337
868	7065	17327
869	7072	17315
870	7083	17314
871	7090	17304
872	7098	17295
873	7105	17285
874	7117	17284
875	7124	17274
876	7132	17264
877	7138	17253
878	7146	17244
879	7153	17233
880	7161	17226
881	7168	17214
882	7175	17203
883	7182	17192
884	7189	17181
885	7196	17170
886	7205	17164
887	7213	17157
888	7220	17145
889	7227	17135
890	7235	17125
891	7246	17124
892	7253	17113
893	7260	17104
894	7267	17092
895	7275	17085
896	7285	17080
897	7291	17068
898	7298	17057
899	7305	17046
900	7313	17037
901	7319	17025
902	7328	17018
903	7334	17006
904	7349	17013
905	7356	17003
906	7363	16992
907	7371	16983
908	7382	16981
909	7390	16973
