Kin-Method,MSE,MAE,R2,Emission(kW)
RDKitECFPMorganFP/AMPK-alpha1_XGBoost,343.475379,12.240863,0.193959,3.457784e-06
RDKitECFPMorganFP/AMPK-alpha1_CatBoost,377.785415,11.775799,0.113443,2.822332e-06
RDKitECFPMorganFP/AMPK-alpha1_DNN,353.795949,13.621811,0.169739,1.735305e-05
RDKitECFPMorganFP/AMPK-alpha2_Linear-SVR,296.176247,10.783699,0.213820,2.421297e-08
RDKitECFPMorganFP/AMPK-alpha2_RBF-SVR,484.691234,12.087355,-0.286581,3.228821e-08
RDKitECFPMorganFP/AMPK-alpha2_DecisionTree,360.554472,12.207277,0.042932,8.645893e-09
RDKitECFPMorganFP/AMPK-alpha2_ExtraTrees,336.599896,11.995377,0.106518,1.052587e-06
RDKitECFPMorganFP/AMPK-alpha2_RandomForest,345.339912,12.255474,0.083318,8.544759e-07
RDKitECFPMorganFP/AMPK-alpha2_KNeighbors,415.514930,11.880751,-0.102957,1.451989e-08
RDKitECFPMorganFP/AMPK-alpha2_PLS,269.112470,11.097593,0.285659,6.046721e-07
RDKitECFPMorganFP/AMPK-alpha2_PLS-SKLEARN,276.506920,11.062383,0.266031,5.521753e-08
RDKitECFPMorganFP/AMPK-alpha2_XGBoost,271.679991,11.347438,0.278843,3.265145e-06
RDKitECFPMorganFP/AMPK-alpha2_CatBoost,288.060815,11.228095,0.235362,2.907218e-06
RDKitECFPMorganFP/AMPK-alpha2_DNN,290.223300,12.731513,0.229621,1.706990e-05
RDKitECFPMorganFP/ANKK1_Linear-SVR,373.833229,11.548403,-0.119076,2.560593e-08
RDKitECFPMorganFP/ANKK1_RBF-SVR,408.332711,10.161799,-0.222351,3.307652e-08
RDKitECFPMorganFP/ANKK1_DecisionTree,265.046391,11.332224,0.206579,7.293817e-09
RDKitECFPMorganFP/ANKK1_ExtraTrees,425.431923,13.442815,-0.273537,1.065440e-06
RDKitECFPMorganFP/ANKK1_RandomForest,327.561250,12.385812,0.019440,8.712910e-07
RDKitECFPMorganFP/ANKK1_KNeighbors,396.270518,12.390892,-0.186242,1.214211e-08
RDKitECFPMorganFP/ANKK1_PLS,335.511448,11.692330,-0.004359,5.825509e-07
RDKitECFPMorganFP/ANKK1_PLS-SKLEARN,351.171200,12.528783,-0.051237,5.506516e-08
RDKitECFPMorganFP/ANKK1_XGBoost,405.712549,13.781800,-0.214507,3.263987e-06
RDKitECFPMorganFP/ANKK1_CatBoost,308.591358,11.699348,0.076227,2.899047e-06
RDKitECFPMorganFP/ANKK1_DNN,359.875459,13.864624,-0.077293,1.690544e-05
RDKitECFPMorganFP/ARK5_Linear-SVR,402.316245,12.675277,0.132786,2.341994e-08
RDKitECFPMorganFP/ARK5_RBF-SVR,550.539702,12.739265,-0.186717,3.547404e-08
