Kin-Method,MSE,MAE,R2,Emission(kW)
RDKitDescriptorsResults/ASK2_DNN,77.479973,6.862847,-0.048021,4.139848e-06
RDKitDescriptorsResults/AURKA_Linear-SVR,858.555440,18.690120,-0.058339,2.213210e-09
RDKitDescriptorsResults/AURKA_RBF-SVR,898.567797,18.280396,-0.107662,3.313159e-09
RDKitDescriptorsResults/AURKA_DecisionTree,722.592357,18.355982,0.109262,1.540840e-09
RDKitDescriptorsResults/AURKA_ExtraTrees,638.922284,18.644374,0.212402,1.191609e-07
RDKitDescriptorsResults/AURKA_RandomForest,654.656497,18.889546,0.193007,3.475444e-07
RDKitDescriptorsResults/AURKA_KNeighbors,760.825664,20.195869,0.062132,3.854200e-09
RDKitDescriptorsResults/AURKA_PLS,872.077493,22.234111,-0.075008,1.765385e-08
RDKitDescriptorsResults/AURKA_PLS-SKLEARN,762.478611,20.748803,0.060095,3.942840e-09
RDKitDescriptorsResults/AURKA_XGBoost,749.639348,19.787007,0.075922,7.815503e-07
RDKitDescriptorsResults/AURKA_CatBoost,607.155310,17.891820,0.251561,2.274013e-06
RDKitDescriptorsResults/AURKA_DNN,780.674689,20.133840,0.037664,4.132319e-06
RDKitDescriptorsResults/AURKB_Linear-SVR,900.851324,21.985540,0.012519,2.196617e-09
RDKitDescriptorsResults/AURKB_RBF-SVR,967.517634,22.874309,-0.060558,4.713209e-09
RDKitDescriptorsResults/AURKB_DecisionTree,1134.428800,25.467007,-0.243520,1.557707e-09
RDKitDescriptorsResults/AURKB_ExtraTrees,720.455611,21.465559,0.210263,1.202290e-07
RDKitDescriptorsResults/AURKB_RandomForest,747.269533,21.801822,0.180870,3.233675e-07
RDKitDescriptorsResults/AURKB_KNeighbors,743.912787,21.415305,0.184550,4.726594e-09
RDKitDescriptorsResults/AURKB_PLS,836.541661,22.929650,0.083013,1.772460e-08
RDKitDescriptorsResults/AURKB_PLS-SKLEARN,796.350323,22.497356,0.127069,4.032704e-09
RDKitDescriptorsResults/AURKB_XGBoost,735.940456,20.882564,0.193289,6.702233e-07
RDKitDescriptorsResults/AURKB_CatBoost,661.842947,20.355513,0.274512,2.292138e-06
RDKitDescriptorsResults/AURKB_DNN,857.541658,22.297106,0.059994,4.248922e-06
RDKitDescriptorsResults/AURKC_Linear-SVR,607.498333,18.079845,0.196157,2.076617e-09
RDKitDescriptorsResults/AURKC_RBF-SVR,729.026708,19.753848,0.035351,3.363128e-09
RDKitDescriptorsResults/AURKC_DecisionTree,719.600852,18.909083,0.047823,1.416223e-09
RDKitDescriptorsResults/AURKC_ExtraTrees,480.847024,16.992913,0.363742,1.203610e-07
RDKitDescriptorsResults/AURKC_RandomForest,516.666757,17.652661,0.316346,3.195850e-07
RDKitDescriptorsResults/AURKC_KNeighbors,511.037572,17.889108,0.323794,3.088610e-09
RDKitDescriptorsResults/AURKC_PLS,516.522167,17.871078,0.316537,1.866447e-08
RDKitDescriptorsResults/AURKC_PLS-SKLEARN,544.220912,18.250504,0.279886,4.029815e-09
RDKitDescriptorsResults/AURKC_XGBoost,519.765141,17.860355,0.312246,6.960695e-07
RDKitDescriptorsResults/AURKC_CatBoost,458.714492,16.464260,0.393028,2.304027e-06
RDKitDescriptorsResults/AURKC_DNN,501.255595,16.845095,0.336738,4.250228e-06
RDKitDescriptorsResults/AXL_Linear-SVR,1246.417462,22.247723,-0.148960,2.242232e-09
RDKitDescriptorsResults/AXL_RBF-SVR,1369.097826,22.863119,-0.262048,3.214971e-09
RDKitDescriptorsResults/AXL_DecisionTree,1003.485673,21.417673,0.074977,1.534507e-09
RDKitDescriptorsResults/AXL_ExtraTrees,839.050481,21.364921,0.226555,1.179507e-07
RDKitDescriptorsResults/AXL_RandomForest,851.618268,21.912300,0.214970,3.367761e-07
RDKitDescriptorsResults/AXL_KNeighbors,697.766469,18.968169,0.356792,3.802433e-09
RDKitDescriptorsResults/AXL_PLS,869.039489,22.192672,0.198911,1.833275e-08
RDKitDescriptorsResults/AXL_PLS-SKLEARN,838.973698,22.004816,0.226625,4.032268e-09
RDKitDescriptorsResults/AXL_XGBoost,793.271384,20.263849,0.268754,7.485423e-07
RDKitDescriptorsResults/AXL_CatBoost,734.428402,19.885869,0.322996,2.266310e-06
RDKitDescriptorsResults/AXL_DNN,735.174146,19.709681,0.322309,4.197112e-06
RDKitDescriptorsResults/BIKE_Linear-SVR,678.128844,17.341465,0.137151,2.089380e-09
