Molecule,LogP_chembl
CMPLOGP00000338,-0.29
CMPLOGP00000339,-0.29
CMPLOGP00000340,-0.28
CMPLOGP00000341,-0.28
CMPLOGP00000342,-0.28
CMPLOGP00000343,-0.27
CMPLOGP00000344,-0.27
CMPLOGP00000345,-0.26
CMPLOGP00000346,-0.26
CMPLOGP00000347,-0.26
CMPLOGP00000348,-0.26
CMPLOGP00000349,-0.25
CMPLOGP00000350,-0.25
CMPLOGP00000351,-0.24
CMPLOGP00000352,-0.24
CMPLOGP00000353,-0.24
CMPLOGP00000354,-0.24
CMPLOGP00000355,-0.24
CMPLOGP00000356,-0.23
CMPLOGP00000357,-0.23
CMPLOGP00000358,-0.23
CMPLOGP00000359,-0.221
CMPLOGP00000360,-0.22
CMPLOGP00000361,-0.22
CMPLOGP00000362,-0.21
CMPLOGP00000363,-0.21
CMPLOGP00000364,-0.21
CMPLOGP00000365,-0.21
CMPLOGP00000366,-0.21
CMPLOGP00000367,-0.2
CMPLOGP00000368,-0.2
CMPLOGP00000369,-0.2
CMPLOGP00000370,-0.2
CMPLOGP00000371,-0.19
CMPLOGP00000372,-0.18
CMPLOGP00000373,-0.1762
CMPLOGP00000374,-0.17
CMPLOGP00000375,-0.169
CMPLOGP00000376,-0.162
CMPLOGP00000377,-0.16
CMPLOGP00000378,-0.15
CMPLOGP00000379,-0.15
CMPLOGP00000380,-0.15
CMPLOGP00000381,-0.14
CMPLOGP00000382,-0.14
CMPLOGP00000383,-0.134
CMPLOGP00000384,-0.13
CMPLOGP00000385,-0.13
CMPLOGP00000386,-0.13
CMPLOGP00000387,-0.13
CMPLOGP00000388,-0.12
CMPLOGP00000389,-0.12
CMPLOGP00000390,-0.11
CMPLOGP00000391,-0.11
CMPLOGP00000392,-0.11
CMPLOGP00000393,-0.11
CMPLOGP00000394,-0.1
CMPLOGP00000395,-0.1
CMPLOGP00000396,-0.1
CMPLOGP00000397,-0.1
CMPLOGP00000398,-0.1
CMPLOGP00000399,-0.1
CMPLOGP00000400,-0.09
CMPLOGP00000401,-0.09
CMPLOGP00000402,-0.09
CMPLOGP00000403,-0.09
CMPLOGP00000404,-0.082
CMPLOGP00000405,-0.08
CMPLOGP00000406,-0.08
CMPLOGP00000407,-0.07
CMPLOGP00000408,-0.07
CMPLOGP00000409,-0.06
CMPLOGP00000410,-0.06
CMPLOGP00000411,-0.06
CMPLOGP00000412,-0.055
CMPLOGP00000413,-0.05
CMPLOGP00000414,-0.04
CMPLOGP00000415,-0.04
CMPLOGP00000416,-0.03
CMPLOGP00000417,-0.03
CMPLOGP00000418,-0.02
CMPLOGP00000419,-0.02
CMPLOGP00000420,-0.02
CMPLOGP00000421,0
CMPLOGP00000422,0
CMPLOGP00000423,0
CMPLOGP00000424,0
CMPLOGP00000425,0
CMPLOGP00000426,0
CMPLOGP00000427,0
CMPLOGP00000428,0
CMPLOGP00000429,0
CMPLOGP00000430,0
CMPLOGP00000431,0
CMPLOGP00000432,0
CMPLOGP00000433,0
CMPLOGP00000434,0
CMPLOGP00000435,0
CMPLOGP00000436,0
CMPLOGP00000437,0
CMPLOGP00000438,0
CMPLOGP00000439,0
CMPLOGP00000440,0
CMPLOGP00000441,0
CMPLOGP00000442,0
CMPLOGP00000443,0
CMPLOGP00000444,0
CMPLOGP00000445,0
CMPLOGP00000446,0
CMPLOGP00000447,0
CMPLOGP00000448,0
CMPLOGP00000449,0
CMPLOGP00000450,0
CMPLOGP00000451,0
CMPLOGP00000452,0
CMPLOGP00000453,0
CMPLOGP00000454,0
CMPLOGP00000455,0
CMPLOGP00000456,0
CMPLOGP00000457,0
CMPLOGP00000458,0
CMPLOGP00000459,0
CMPLOGP00000460,0
CMPLOGP00000461,0
CMPLOGP00000462,0
CMPLOGP00000463,0
CMPLOGP00000464,0
CMPLOGP00000465,0
CMPLOGP00000466,0
CMPLOGP00000467,0
CMPLOGP00000468,0
CMPLOGP00000469,0
CMPLOGP00000470,0
CMPLOGP00000471,0
CMPLOGP00000472,0
CMPLOGP00000473,0
CMPLOGP00000474,0
CMPLOGP00000475,0
CMPLOGP00000476,0
CMPLOGP00000477,0
CMPLOGP00000478,0
CMPLOGP00000479,0
CMPLOGP00000480,0
CMPLOGP00000481,0
CMPLOGP00000482,0
CMPLOGP00000483,0
CMPLOGP00000484,0
CMPLOGP00000485,0
CMPLOGP00000486,0
CMPLOGP00000487,0
CMPLOGP00000488,0
CMPLOGP00000489,0
CMPLOGP00000490,0
CMPLOGP00000491,0
CMPLOGP00000492,0
CMPLOGP00000493,0
CMPLOGP00000494,0
CMPLOGP00000495,0
CMPLOGP00000496,0
CMPLOGP00000497,0
CMPLOGP00000498,0
CMPLOGP00000499,0
CMPLOGP00000500,0.004
CMPLOGP00000501,0.01
CMPLOGP00000502,0.01
CMPLOGP00000503,0.01
CMPLOGP00000504,0.025
CMPLOGP00000505,0.03
CMPLOGP00000506,0.03
CMPLOGP00000507,0.03
CMPLOGP00000508,0.03
CMPLOGP00000509,0.036
CMPLOGP00000510,0.037
CMPLOGP00000511,0.04
CMPLOGP00000512,0.04
CMPLOGP00000513,0.04
CMPLOGP00000514,0.04
CMPLOGP00000515,0.04
CMPLOGP00000516,0.04
CMPLOGP00000517,0.04
CMPLOGP00000518,0.04
CMPLOGP00000519,0.04
CMPLOGP00000520,0.046
CMPLOGP00000521,0.05
CMPLOGP00000522,0.05
CMPLOGP00000523,0.05
CMPLOGP00000524,0.056
CMPLOGP00000525,0.056
CMPLOGP00000526,0.06
CMPLOGP00000527,0.06
CMPLOGP00000528,0.06
CMPLOGP00000529,0.06
CMPLOGP00000530,0.07
CMPLOGP00000531,0.07
CMPLOGP00000532,0.07
CMPLOGP00000533,0.075
CMPLOGP00000534,0.078
CMPLOGP00000535,0.08
CMPLOGP00000536,0.08
CMPLOGP00000537,0.08
CMPLOGP00000538,0.08
CMPLOGP00000539,0.08
CMPLOGP00000540,0.08
CMPLOGP00000541,0.083
CMPLOGP00000542,0.085
CMPLOGP00000543,0.09
CMPLOGP00000544,0.09
CMPLOGP00000545,0.09
CMPLOGP00000546,0.1
CMPLOGP00000547,0.1
CMPLOGP00000548,0.1
CMPLOGP00000549,0.1
CMPLOGP00000550,0.1
CMPLOGP00000551,0.108
CMPLOGP00000552,0.11
CMPLOGP00000553,0.11
CMPLOGP00000554,0.11
CMPLOGP00000555,0.11
CMPLOGP00000556,0.11
CMPLOGP00000557,0.11
CMPLOGP00000558,0.112
CMPLOGP00000559,0.1158
CMPLOGP00000560,0.12
CMPLOGP00000561,0.12
CMPLOGP00000562,0.12
CMPLOGP00000563,0.12
CMPLOGP00000564,0.128
CMPLOGP00000565,0.13
CMPLOGP00000566,0.13
CMPLOGP00000567,0.13
CMPLOGP00000568,0.13
CMPLOGP00000569,0.13
CMPLOGP00000570,0.14
CMPLOGP00000571,0.14
CMPLOGP00000572,0.14
CMPLOGP00000573,0.14
CMPLOGP00000574,0.14
CMPLOGP00000575,0.14
CMPLOGP00000576,0.141
CMPLOGP00000577,0.143
CMPLOGP00000578,0.143
CMPLOGP00000579,0.15
CMPLOGP00000580,0.15
CMPLOGP00000581,0.15
CMPLOGP00000582,0.15
CMPLOGP00000583,0.15
CMPLOGP00000584,0.15
CMPLOGP00000585,0.15
CMPLOGP00000586,0.15
CMPLOGP00000587,0.15
CMPLOGP00000588,0.156
CMPLOGP00000589,0.16
CMPLOGP00000590,0.16
CMPLOGP00000591,0.16
CMPLOGP00000592,0.16
CMPLOGP00000593,0.16
CMPLOGP00000594,0.17
CMPLOGP00000595,0.17
CMPLOGP00000596,0.17
