Kin-Method,MSE,MAE,R2,Emission(kW)
RDKitDescriptorsResults/CAMK1_RandomForest,0.282354,0.394836,0.153308,3.178756e-07
RDKitDescriptorsResults/CAMK1_KNeighbors,0.371803,0.474970,-0.114925,3.194884e-09
RDKitDescriptorsResults/CAMK1_PLS,0.850639,0.715106,-1.550806,3.874822e-08
RDKitDescriptorsResults/CAMK1_PLS-SKLEARN,0.805666,0.691012,-1.415946,2.254411e-07
RDKitDescriptorsResults/CAMK1_XGBoost,0.315540,0.429124,0.053791,5.799208e-07
RDKitDescriptorsResults/CAMK1_CatBoost,0.226928,0.362964,0.319511,1.894698e-06
RDKitDescriptorsResults/CAMK1_DNN,0.593103,0.625644,-0.778534,7.009012e-06
RDKitDescriptorsResults/CAMK2A_Linear-SVR,0.681499,0.728201,0.047203,3.758626e-09
RDKitDescriptorsResults/CAMK2A_RBF-SVR,0.344642,0.475647,0.518159,3.479952e-09
RDKitDescriptorsResults/CAMK2A_DecisionTree,0.968302,0.707846,-0.353773,3.275327e-09
RDKitDescriptorsResults/CAMK2A_ExtraTrees,0.351911,0.477480,0.507997,2.329103e-07
RDKitDescriptorsResults/CAMK2A_RandomForest,0.346230,0.474582,0.515939,3.459967e-07
RDKitDescriptorsResults/CAMK2A_KNeighbors,0.445127,0.540709,0.377672,2.901519e-09
RDKitDescriptorsResults/CAMK2A_PLS,0.451652,0.581520,0.368550,4.569908e-08
RDKitDescriptorsResults/CAMK2A_PLS-SKLEARN,0.451652,0.581520,0.368550,2.307420e-07
RDKitDescriptorsResults/CAMK2A_XGBoost,0.438642,0.545209,0.386739,6.368437e-07
RDKitDescriptorsResults/CAMK2A_CatBoost,0.361450,0.464197,0.494661,2.058173e-06
RDKitDescriptorsResults/CAMK2A_DNN,0.636414,0.636644,0.110235,8.900999e-06
RDKitDescriptorsResults/CAMK2B_Linear-SVR,0.250840,0.383480,-0.599187,5.203976e-09
RDKitDescriptorsResults/CAMK2B_RBF-SVR,0.160360,0.308197,-0.022349,4.068268e-09
RDKitDescriptorsResults/CAMK2B_DecisionTree,0.255992,0.378984,-0.632035,4.520959e-09
RDKitDescriptorsResults/CAMK2B_ExtraTrees,0.179506,0.333201,-0.144409,2.933839e-07
RDKitDescriptorsResults/CAMK2B_RandomForest,0.200534,0.349750,-0.278469,5.005440e-07
RDKitDescriptorsResults/CAMK2B_KNeighbors,0.219610,0.383852,-0.400085,2.040233e-08
RDKitDescriptorsResults/CAMK2B_PLS,0.316482,0.456176,-1.017679,8.230098e-08
RDKitDescriptorsResults/CAMK2B_PLS-SKLEARN,0.296402,0.443362,-0.889662,4.929389e-07
RDKitDescriptorsResults/CAMK2B_XGBoost,0.235335,0.378939,-0.500340,8.027317e-07
RDKitDescriptorsResults/CAMK2B_CatBoost,0.161981,0.331721,-0.032683,2.530955e-06
RDKitDescriptorsResults/CAMK2B_DNN,0.814040,0.726090,-4.189781,8.041379e-06
RDKitDescriptorsResults/CAMK2D_Linear-SVR,0.356831,0.462091,-0.168448,4.519356e-09
RDKitDescriptorsResults/CAMK2D_RBF-SVR,0.356355,0.468061,-0.166891,4.179273e-09
RDKitDescriptorsResults/CAMK2D_DecisionTree,0.517565,0.506397,-0.694774,4.603733e-09
RDKitDescriptorsResults/CAMK2D_ExtraTrees,0.357506,0.483547,-0.170658,3.192798e-07
RDKitDescriptorsResults/CAMK2D_RandomForest,0.361001,0.492675,-0.182101,5.856942e-07
RDKitDescriptorsResults/CAMK2D_KNeighbors,0.515347,0.588636,-0.687510,1.155883e-08
RDKitDescriptorsResults/CAMK2D_PLS,0.385948,0.505585,-0.263791,9.590418e-08
RDKitDescriptorsResults/CAMK2D_PLS-SKLEARN,0.357563,0.495079,-0.170846,5.279557e-07
RDKitDescriptorsResults/CAMK2D_XGBoost,0.403068,0.502408,-0.319851,7.724957e-07
RDKitDescriptorsResults/CAMK2D_CatBoost,0.351651,0.468554,-0.151486,2.403579e-06
RDKitDescriptorsResults/CAMK2D_DNN,0.448932,0.519638,-0.470035,1.017390e-05
RDKitDescriptorsResults/CAMK2G_Linear-SVR,0.527590,0.484852,-0.088970,3.624527e-09
RDKitDescriptorsResults/CAMK2G_RBF-SVR,0.438293,0.445944,0.095344,3.581383e-09
RDKitDescriptorsResults/CAMK2G_DecisionTree,0.708357,0.637501,-0.462080,4.089989e-09
RDKitDescriptorsResults/CAMK2G_ExtraTrees,0.476932,0.498054,0.015591,2.864949e-07
RDKitDescriptorsResults/CAMK2G_RandomForest,0.469873,0.509069,0.030160,5.213321e-07
RDKitDescriptorsResults/CAMK2G_KNeighbors,0.499953,0.515116,-0.031925,4.758442e-09
RDKitDescriptorsResults/CAMK2G_PLS,0.559487,0.561318,-0.154807,8.317161e-08
RDKitDescriptorsResults/CAMK2G_PLS-SKLEARN,0.559749,0.546368,-0.155348,5.385613e-07
RDKitDescriptorsResults/CAMK2G_XGBoost,0.466806,0.493162,0.036491,7.750760e-07
RDKitDescriptorsResults/CAMK2G_CatBoost,0.407092,0.475416,0.159744,2.574268e-06
RDKitDescriptorsResults/CAMK2G_DNN,0.783444,0.734072,-0.617063,8.873268e-06
RDKitDescriptorsResults/CDC2_Linear-SVR,0.855108,0.661596,-0.522861,4.559824e-09
RDKitDescriptorsResults/CDC2_RBF-SVR,0.591279,0.587140,-0.053008,4.107557e-09
RDKitDescriptorsResults/CDC2_DecisionTree,1.027769,0.761849,-0.830353,4.716330e-09
RDKitDescriptorsResults/CDC2_ExtraTrees,0.645635,0.611078,-0.149811,3.131108e-07
RDKitDescriptorsResults/CDC2_RandomForest,0.552942,0.569294,0.015267,6.047991e-07
