Kin-Method,MSE,MAE,R2,Emission(kW)
RDKitECFPMorganFP/CAMK2D_KNeighbors,0.972729,0.849662,-2.185216,7.401704e-10
RDKitECFPMorganFP/CAMK2D_PLS,0.349076,0.484781,-0.143054,3.427876e-08
RDKitECFPMorganFP/CAMK2D_PLS-SKLEARN,0.349076,0.484781,-0.143054,4.838937e-09
RDKitECFPMorganFP/CAMK2D_XGBoost,0.458553,0.529032,-0.501538,5.844108e-07
RDKitECFPMorganFP/CAMK2D_CatBoost,0.308092,0.435216,-0.008851,6.395429e-07
RDKitECFPMorganFP/CAMK2D_DNN,0.677385,0.651606,-1.218107,2.726625e-06
RDKitECFPMorganFP/CAMK2G_Linear-SVR,0.364407,0.455537,0.247847,7.877174e-10
RDKitECFPMorganFP/CAMK2G_RBF-SVR,0.349814,0.452600,0.277969,1.207509e-09
RDKitECFPMorganFP/CAMK2G_DecisionTree,0.394582,0.400265,0.185565,7.798250e-10
RDKitECFPMorganFP/CAMK2G_ExtraTrees,0.380552,0.433389,0.214524,9.580096e-08
RDKitECFPMorganFP/CAMK2G_RandomForest,0.371318,0.442792,0.233584,8.497374e-08
RDKitECFPMorganFP/CAMK2G_KNeighbors,0.356107,0.484987,0.264980,6.227708e-10
RDKitECFPMorganFP/CAMK2G_PLS,0.308850,0.438094,0.362520,2.802070e-08
RDKitECFPMorganFP/CAMK2G_PLS-SKLEARN,0.349576,0.452827,0.278459,4.213005e-09
RDKitECFPMorganFP/CAMK2G_XGBoost,0.355698,0.441568,0.265823,4.954324e-07
RDKitECFPMorganFP/CAMK2G_CatBoost,0.298119,0.402710,0.384669,6.294288e-07
RDKitECFPMorganFP/CAMK2G_DNN,0.555697,0.594055,-0.146984,2.484408e-06
RDKitECFPMorganFP/CDC2_Linear-SVR,0.625202,0.628023,-0.113420,1.383700e-09
RDKitECFPMorganFP/CDC2_RBF-SVR,0.459005,0.524330,0.182559,1.489699e-09
RDKitECFPMorganFP/CDC2_DecisionTree,0.693142,0.643315,-0.234416,7.223925e-10
RDKitECFPMorganFP/CDC2_ExtraTrees,0.706002,0.706768,-0.257317,1.127948e-07
RDKitECFPMorganFP/CDC2_RandomForest,0.535695,0.575932,0.045981,9.394068e-08
RDKitECFPMorganFP/CDC2_KNeighbors,0.570074,0.622561,-0.015244,7.516395e-10
RDKitECFPMorganFP/CDC2_PLS,0.550455,0.593862,0.019696,3.675245e-08
RDKitECFPMorganFP/CDC2_PLS-SKLEARN,0.550455,0.593862,0.019696,5.200452e-09
RDKitECFPMorganFP/CDC2_XGBoost,0.722677,0.674421,-0.287014,6.211301e-07
RDKitECFPMorganFP/CDC2_CatBoost,0.507574,0.562372,0.096063,6.660672e-07
RDKitECFPMorganFP/CDC2_DNN,0.687360,0.683941,-0.224118,2.897592e-06
RDKitECFPMorganFP/CDC42BPA_Linear-SVR,0.424381,0.519115,0.202253,1.093744e-09
RDKitECFPMorganFP/CDC42BPA_RBF-SVR,0.394579,0.511552,0.258275,1.143971e-09
RDKitECFPMorganFP/CDC42BPA_DecisionTree,0.272965,0.409056,0.486883,6.559718e-10
RDKitECFPMorganFP/CDC42BPA_ExtraTrees,0.676187,0.697943,-0.271089,9.329322e-08
RDKitECFPMorganFP/CDC42BPA_RandomForest,0.526956,0.592006,0.009435,8.360794e-08
RDKitECFPMorganFP/CDC42BPA_KNeighbors,0.518174,0.592614,0.025942,5.284954e-10
RDKitECFPMorganFP/CDC42BPA_PLS,0.396092,0.509917,0.255431,2.895112e-08
RDKitECFPMorganFP/CDC42BPA_PLS-SKLEARN,0.441116,0.560058,0.170796,4.370254e-09
RDKitECFPMorganFP/CDC42BPA_XGBoost,0.564829,0.613803,-0.061759,5.163747e-07
RDKitECFPMorganFP/CDC42BPA_CatBoost,0.317490,0.467796,0.403186,6.296963e-07
RDKitECFPMorganFP/CDC42BPA_DNN,0.720041,0.690722,-0.353525,2.596257e-06
RDKitECFPMorganFP/CDC7_Linear-SVR,0.430063,0.506240,0.499624,1.123387e-09
RDKitECFPMorganFP/CDC7_RBF-SVR,0.406095,0.493817,0.527511,1.487111e-09
RDKitECFPMorganFP/CDC7_DecisionTree,0.537302,0.547568,0.374852,8.052478e-10
RDKitECFPMorganFP/CDC7_ExtraTrees,0.396897,0.475623,0.538212,9.711525e-08
RDKitECFPMorganFP/CDC7_RandomForest,0.458777,0.547097,0.466216,8.807340e-08
RDKitECFPMorganFP/CDC7_KNeighbors,0.741067,0.669280,0.137773,6.466549e-10
RDKitECFPMorganFP/CDC7_PLS,0.421197,0.502111,0.509940,3.157589e-08
RDKitECFPMorganFP/CDC7_PLS-SKLEARN,0.429602,0.501304,0.500160,4.850464e-09
RDKitECFPMorganFP/CDC7_XGBoost,0.491045,0.522087,0.428672,5.699242e-07
RDKitECFPMorganFP/CDC7_CatBoost,0.436134,0.499220,0.492561,6.068576e-07
RDKitECFPMorganFP/CDC7_DNN,0.603316,0.557495,0.298045,2.676078e-06
RDKitECFPMorganFP/CDK2_Linear-SVR,0.472473,0.522040,0.159676,2.529871e-09
RDKitECFPMorganFP/CDK2_RBF-SVR,0.389425,0.476140,0.307382,3.146348e-09
RDKitECFPMorganFP/CDK2_DecisionTree,0.505071,0.567912,0.101698,1.051322e-09
RDKitECFPMorganFP/CDK2_ExtraTrees,0.440118,0.521738,0.217221,1.688637e-07
RDKitECFPMorganFP/CDK2_RandomForest,0.428591,0.499029,0.237723,1.298219e-07
RDKitECFPMorganFP/CDK2_KNeighbors,0.414734,0.519915,0.262367,2.580959e-09
RDKitECFPMorganFP/CDK2_PLS,0.408526,0.479427,0.273409,6.053167e-08
RDKitECFPMorganFP/CDK2_PLS-SKLEARN,0.413764,0.493455,0.264093,7.847622e-09
RDKitECFPMorganFP/CDK2_XGBoost,0.529485,0.574799,0.058276,9.135755e-07
RDKitECFPMorganFP/CDK2_CatBoost,0.399318,0.480965,0.289786,7.330912e-07
RDKitECFPMorganFP/CDK2_DNN,0.504679,0.585271,0.102394,3.501639e-06
RDKitECFPMorganFP/CDK5_Linear-SVR,0.830445,0.705726,0.195228,3.139632e-09
RDKitECFPMorganFP/CDK5_RBF-SVR,0.736945,0.684406,0.285838,3.960598e-09
RDKitECFPMorganFP/CDK5_DecisionTree,0.874732,0.715429,0.152310,1.289858e-09
RDKitECFPMorganFP/CDK5_ExtraTrees,0.891579,0.764640,0.135984,2.111713e-07
RDKitECFPMorganFP/CDK5_RandomForest,0.791401,0.732711,0.233065,1.510995e-07
RDKitECFPMorganFP/CDK5_KNeighbors,0.947582,0.774163,0.081712,2.149768e-09
RDKitECFPMorganFP/CDK5_PLS,0.731003,0.663718,0.291595,7.644602e-08
RDKitECFPMorganFP/CDK5_PLS-SKLEARN,0.724794,0.688541,0.297613,8.915086e-09
RDKitECFPMorganFP/CDK5_XGBoost,0.699432,0.662809,0.322191,1.096439e-06
RDKitECFPMorganFP/CDK5_CatBoost,0.618380,0.601566,0.400737,6.914182e-07
RDKitECFPMorganFP/CDK5_DNN,0.992103,0.765376,0.038568,4.222776e-06
